time,station,rr,substation
2000-01-01T00:00+00:00,6611,1984.0,
2000-01-01T00:00+00:00,6620,1302.0,
2000-01-01T00:00+00:00,6621,,
2000-01-01T00:00+00:00,6800,1179.0,
2000-01-01T00:00+00:00,6802,,
2000-01-01T00:00+00:00,6803,,
2000-01-01T00:00+00:00,6804,,
2000-01-01T00:00+00:00,6900,1254.0,
2000-01-01T00:00+00:00,6910,,
2000-01-01T00:00+00:00,7001,1387.0,
2000-01-01T00:00+00:00,7002,,
2000-01-01T00:00+00:00,7011,,
2000-01-01T00:00+00:00,7012,,
2000-01-01T00:00+00:00,7013,,
2000-01-01T00:00+00:00,7110,1678.0,
2000-01-01T00:00+00:00,7220,,
2000-01-01T00:00+00:00,7221,,
2000-01-01T00:00+00:00,7301,,
2000-01-01T00:00+00:00,7305,,
2000-01-01T00:00+00:00,7400,,
2000-01-01T00:00+00:00,7505,927.0,
2000-01-01T00:00+00:00,7531,836.0,
2000-01-01T00:00+00:00,7604,485.0,
2000-01-01T00:00+00:00,7610,941.0,
2000-01-01T00:00+00:00,7640,640.0,
2000-01-01T00:00+00:00,7641,,
2000-01-01T00:00+00:00,7653,,
2000-01-01T00:00+00:00,7704,599.0,
2000-01-01T00:00+00:00,7710,511.0,
2000-01-01T00:00+00:00,7714,,
2000-01-01T00:00+00:00,7818,522.0,
2000-01-01T00:00+00:00,7890,,
2000-01-01T00:00+00:00,7905,607.0,
2000-01-01T00:00+00:00,7906,,
2000-01-01T00:00+00:00,7912,,
2000-01-01T00:00+00:00,7955,547.0,
2000-01-01T00:00+00:00,7956,,
2000-01-01T00:00+00:00,8301,,
2000-01-01T00:00+00:00,8302,,
2000-01-01T00:00+00:00,8805,1648.0,
2000-01-01T00:00+00:00,8806,,
2000-01-01T00:00+00:00,8807,,
2000-01-01T00:00+00:00,9000,1378.0,
2000-01-01T00:00+00:00,9010,1431.0,
2000-01-01T00:00+00:00,9016,1491.0,
2000-01-01T00:00+00:00,9019,,
2000-01-01T00:00+00:00,9105,,
2000-01-01T00:00+00:00,9110,,
2000-01-01T00:00+00:00,9111,,
2000-01-01T00:00+00:00,9210,,
2000-01-01T00:00+00:00,9211,1851.0,
2000-01-01T00:00+00:00,9215,,
2000-01-01T00:00+00:00,9406,,
2000-01-01T00:00+00:00,9450,1584.0,
2000-01-01T00:00+00:00,9500,1721.0,
2000-01-01T00:00+00:00,9501,,
2000-01-01T00:00+00:00,9511,1547.0,
2000-01-01T00:00+00:00,9512,,
2000-01-01T00:00+00:00,9606,1654.0,
2000-01-01T00:00+00:00,9609,,
2000-01-01T00:00+00:00,9610,1710.0,
2000-01-01T00:00+00:00,9611,,
2000-01-01T00:00+00:00,9618,,
2000-01-01T00:00+00:00,9620,2282.0,
2000-01-01T00:00+00:00,9640,1750.0,
2000-01-01T00:00+00:00,9643,,
2000-01-01T00:00+00:00,9700,1480.0,
2000-01-01T00:00+00:00,9801,1101.0,
2000-01-01T00:00+00:00,9811,1151.0,
2000-01-01T00:00+00:00,9900,1159.0,
2000-01-01T00:00+00:00,9911,,
2000-01-01T00:00+00:00,9919,1526.0,
2000-01-01T00:00+00:00,9925,,
2000-01-01T00:00+00:00,10002,1708.0,
2000-01-01T00:00+00:00,10005,,
2000-01-01T00:00+00:00,10111,,
2000-01-01T00:00+00:00,10200,1111.0,
2000-01-01T00:00+00:00,10300,,
2000-01-01T00:00+00:00,10400,1199.0,
2000-01-01T00:00+00:00,10401,,
2000-01-01T00:00+00:00,10412,1508.0,
2000-01-01T00:00+00:00,10415,,
2000-01-01T00:00+00:00,10500,919.0,
2000-01-01T00:00+00:00,10508,966.0,
2000-01-01T00:00+00:00,10510,1039.0,
2000-01-01T00:00+00:00,10530,717.0,
2000-01-01T00:00+00:00,10531,,
2000-01-01T00:00+00:00,10550,1039.0,
2000-01-01T00:00+00:00,10600,842.0,
2000-01-01T00:00+00:00,10601,624.0,
2000-01-01T00:00+00:00,10607,,
2000-01-01T00:00+00:00,10710,,
2000-01-01T00:00+00:00,10720,,
2000-01-01T00:00+00:00,11102,1712.0,
2000-01-01T00:00+00:00,11104,1605.0,
2000-01-01T00:00+00:00,11105,1755.0,
2000-01-01T00:00+00:00,11106,,
2000-01-01T00:00+00:00,11112,1613.0,
2000-01-01T00:00+00:00,11113,,
2000-01-01T00:00+00:00,11114,,
2000-01-01T00:00+00:00,11115,1408.0,
2000-01-01T00:00+00:00,11116,,
